,AcrobotAgentv1.0,AcrobotAgentv1.1,AcrobotAgentv1.2,AcrobotAgentv1.3
973,-500,-97,-86,-500
974,-500,-92,-119,-127
975,-500,-101,-130,-134
976,-500,-103,-88,-102
977,-500,-118,-137,-161
978,-500,-101,-113,-161
979,-500,-138,-87,-141
980,-500,-118,-97,-151
981,-500,-104,-167,-235
982,-500,-120,-125,-161
983,-500,-118,-88,-117
984,-500,-116,-127,-121
985,-500,-107,-145,-96
986,-500,-107,-89,-153
987,-500,-91,-96,-158
988,-500,-103,-89,-136
989,-500,-136,-119,-500
990,-500,-95,-117,-189
991,-500,-108,-119,-128
992,-500,-92,-87,-191
993,-500,-117,-162,-94
994,-500,-104,-117,-339
995,-500,-103,-105,-129
996,-500,-107,-114,-140
997,-500,-106,-122,-127
998,-500,-92,-154,-149
999,-500,-92,-129,-500
