,AcrobotAgentv1.0,AcrobotAgentv1.1,AcrobotAgentv1.2,AcrobotAgentv1.3
224,-500,-104,-160,-500
225,-500,-99,-136,-120
226,-500,-122,-118,-153
227,-500,-106,-131,-123
228,-500,-117,-89,-138
229,-500,-125,-131,-150
230,-500,-122,-101,-131
231,-500,-108,-120,-121
232,-500,-115,-123,-90
233,-500,-92,-123,-118
234,-500,-108,-102,-137
235,-500,-98,-118,-124
236,-500,-110,-130,-142
237,-500,-164,-143,-110
238,-500,-137,-109,-117
239,-500,-116,-99,-145
240,-500,-93,-97,-101
241,-500,-173,-130,-314
242,-500,-98,-139,-155
243,-500,-97,-119,-500
244,-500,-106,-101,-116
245,-500,-177,-151,-118
246,-500,-115,-98,-85
247,-500,-106,-137,-117
248,-500,-118,-117,-500
249,-500,-114,-123,-165
250,-500,-164,-147,-406
251,-500,-98,-120,-163
252,-500,-107,-317,-122
253,-500,-123,-131,-173
254,-500,-121,-159,-144
255,-500,-146,-151,-151
256,-500,-109,-87,-147
257,-500,-93,-142,-142
258,-500,-91,-136,-248
259,-500,-98,-96,-188
260,-500,-130,-137,-500
261,-500,-107,-125,-127
262,-500,-105,-88,-139
263,-500,-95,-120,-144
264,-500,-135,-120,-111
265,-500,-94,-118,-253
266,-500,-113,-99,-160
267,-500,-100,-119,-78
268,-500,-92,-95,-109
269,-500,-123,-500,-96
270,-500,-104,-103,-220
271,-500,-93,-151,-158
272,-500,-99,-100,-127
273,-500,-92,-96,-109
274,-500,-100,-152,-221
275,-500,-123,-120,-345
276,-500,-119,-118,-132
277,-500,-186,-102,-147
278,-500,-91,-115,-114
279,-500,-112,-118,-139
280,-500,-94,-124,-136
281,-500,-100,-127,-202
282,-500,-102,-88,-93
283,-500,-123,-87,-160
284,-500,-118,-124,-157
285,-500,-91,-118,-302
286,-500,-91,-118,-108
287,-500,-101,-94,-140
288,-500,-99,-187,-114
289,-500,-96,-129,-294
290,-500,-100,-120,-212
291,-500,-101,-165,-149
