,CartPole-v2.0,CartPole-v2.1,CartPole-v2.2,CartPole-v2.3
0,168,500,274,500
1,209,500,262,500
2,166,500,500,500
3,171,500,500,500
4,142,500,500,500
5,192,500,259,500
6,147,500,500,500
7,188,500,259,500
8,158,500,500,500
9,180,500,500,500
10,173,500,269,500
11,179,500,500,500
12,219,500,270,500
13,141,500,251,500
14,155,500,500,500
15,172,338,500,500
16,155,500,269,500
17,173,500,500,500
18,182,500,263,500
19,500,500,500,500
20,142,437,260,500
21,201,500,253,500
22,500,500,270,500
23,150,500,500,500
24,161,500,261,500
25,144,500,500,500
26,157,500,264,500
27,187,500,500,500
28,166,500,500,500
29,216,500,264,500
30,151,500,285,500
31,155,500,500,500
32,172,500,500,500
33,153,433,281,500
34,167,500,264,500
35,170,500,500,500
36,162,500,277,500
37,194,500,500,500
38,180,500,255,500
39,153,429,500,500
40,168,500,264,500
41,137,402,264,500
42,500,500,266,500
43,168,500,500,500
44,134,500,500,500
45,160,500,257,500
46,148,500,269,500
47,170,333,500,500
48,500,500,254,500
49,156,376,500,500
50,164,445,273,500
51,159,500,265,500
52,168,500,259,500
53,150,500,266,500
54,500,500,500,500
55,500,500,500,500
56,152,500,258,500
57,180,500,500,500
58,154,382,500,500
59,190,500,500,500
60,190,500,256,500
61,165,500,500,500
62,197,500,265,500
63,169,500,500,500
64,169,500,500,500
65,154,500,500,500
66,151,500,500,500
67,149,500,500,500
68,164,500,500,500
69,150,500,500,500
70,500,500,276,500
71,500,500,500,500
72,162,500,258,500
73,145,448,256,500
74,152,500,500,500
75,148,403,253,500
76,165,464,259,500
77,151,500,258,500
78,148,500,500,500
79,204,500,255,500
80,190,500,276,500
81,500,500,274,500
82,168,483,500,500
83,500,438,500,500
84,205,500,274,500
85,160,500,500,500
86,190,500,500,500
87,189,500,262,500
88,165,335,254,500
89,154,500,500,500
90,191,500,500,500
91,198,500,263,500
92,156,500,500,500
93,157,491,268,500
94,217,500,500,500
95,168,500,271,500
96,158,500,261,500
97,158,500,255,500
98,149,500,258,500
99,500,318,264,500
100,172,492,264,500
101,173,445,500,500
102,162,500,266,500
103,148,500,500,500
104,249,359,262,500
105,182,325,500,500
106,163,500,500,500
107,157,500,500,500
108,155,500,265,500
109,157,500,500,500
110,141,500,500,500
111,147,500,500,500
112,200,500,500,500
113,163,494,268,500
114,193,500,500,500
115,161,500,500,500
116,500,500,258,500
117,150,500,257,500
118,219,500,500,500
119,140,500,267,500
120,161,500,500,500
121,159,500,500,500
122,166,500,500,500
123,175,500,500,500
124,151,500,500,500
125,147,362,500,500
126,143,500,271,500
127,147,500,254,500
128,179,500,500,500
129,157,500,260,500
130,183,345,274,500
131,147,381,268,500
132,176,500,258,500
133,184,500,273,500
134,177,500,500,500
135,161,500,500,500
136,164,500,500,500
137,166,459,500,500
138,159,500,500,500
139,159,500,262,500
140,500,500,500,500
141,170,335,500,500
142,190,500,500,500
143,145,500,500,500
144,180,434,255,500
145,182,407,270,500
146,152,500,500,500
147,143,500,500,500
148,190,500,500,500
149,150,500,500,500
150,500,398,500,500
151,183,500,276,500
152,199,500,500,500
153,153,500,271,500
154,161,500,259,500
155,157,500,500,500
156,500,391,261,500
157,172,414,250,500
158,223,500,500,500
159,157,500,500,500
160,152,500,260,500
161,172,500,245,500
162,188,500,500,500
163,160,500,500,500
164,224,500,264,500
165,164,500,272,500
166,176,469,500,500
167,169,422,500,500
168,163,463,253,500
169,147,500,500,500
170,171,500,268,500
171,172,500,266,500
172,151,500,260,500
173,209,500,261,500
174,166,500,500,500
175,172,500,265,500
176,166,438,500,500
177,167,419,258,500
178,165,404,500,500
179,162,500,266,500
180,154,379,500,500
181,171,500,270,500
182,169,362,500,500
183,155,500,500,500
184,151,500,262,500
185,146,500,259,500
186,149,430,268,500
187,158,500,500,500
188,169,500,500,500
189,172,424,278,500
190,500,500,265,500
191,161,500,500,500
192,500,500,261,500
193,159,500,500,500
194,165,368,273,500
195,169,500,266,500
196,150,374,500,500
197,182,500,500,500
198,156,500,272,500
199,161,500,262,500
200,180,500,500,500
201,188,500,500,500
202,154,500,256,500
203,154,500,500,500
204,178,500,500,500
205,147,500,500,500
206,148,500,500,500
207,155,500,500,500
208,149,500,259,500
209,193,485,500,500
210,148,500,500,500
211,162,500,500,500
212,176,500,500,500
213,500,343,500,500
214,161,500,500,500
215,153,500,264,500
216,159,500,251,500
217,149,500,500,500
218,162,500,266,500
219,163,500,265,500
220,152,500,260,500
221,146,377,500,500
222,500,500,500,500
223,155,500,259,500
224,500,500,261,500
225,173,500,265,500
226,227,500,500,500
227,161,500,500,500
228,170,500,500,500
229,187,500,261,500
230,171,500,262,500
231,167,423,500,500
232,158,447,261,500
233,155,500,500,500
234,140,255,500,500
235,162,500,500,500
236,152,500,500,500
237,152,500,500,500
238,150,406,262,500
239,170,500,500,500
240,152,490,500,500
241,181,500,500,500
242,165,500,500,500
243,500,500,500,500
244,189,500,500,500
245,150,500,500,500
246,500,500,500,500
247,156,500,259,500
248,152,500,500,500
249,145,500,500,500
250,157,500,500,500
251,146,500,261,500
252,159,500,500,500
253,149,500,500,500
254,155,500,263,500
255,175,500,500,500
256,154,500,500,500
257,151,339,500,500
258,153,500,500,500
259,169,500,262,500
260,175,380,276,500
261,161,450,500,500
262,172,500,500,500
263,199,500,260,500
264,176,500,500,500
265,160,500,273,500
266,147,500,500,500
267,170,500,264,500
268,159,500,500,500
269,159,491,256,500
270,176,500,261,500
271,158,500,270,500
272,197,500,262,500
273,179,500,500,500
274,146,500,267,500
275,500,500,500,500
276,151,500,267,500
277,179,500,500,500
278,174,500,500,500
279,156,500,500,500
280,166,500,500,500
281,179,500,500,500
282,171,337,252,500
283,157,500,256,500
284,190,381,500,500
285,155,500,500,500
286,157,500,259,500
287,153,500,267,500
288,149,500,500,500
289,140,500,266,500
290,158,500,266,500
291,151,434,251,500
292,179,500,500,500
293,154,500,260,500
294,167,390,500,500
295,171,500,253,500
296,166,493,265,500
297,187,500,500,500
298,161,500,500,500
299,158,500,500,500
300,174,476,262,500
301,158,500,500,500
302,164,500,500,500
303,152,500,263,500
304,198,500,261,500
305,227,500,500,500
306,500,500,500,500
307,152,500,500,500
308,168,363,500,500
309,179,500,500,500
310,146,500,268,500
311,155,500,260,500
312,157,500,264,500
313,165,500,500,500
314,149,500,272,500
315,161,500,500,500
316,500,500,500,500
317,149,500,261,500
318,191,500,268,500
319,176,500,500,500
320,168,500,262,500
321,208,363,266,500
322,174,500,500,500
323,196,416,500,500
324,164,500,500,500
325,160,500,500,500
326,162,500,500,500
327,207,500,270,500
328,154,500,500,500
329,160,421,261,500
330,164,500,254,500
331,194,442,269,500
332,500,500,500,500
333,147,500,262,500
334,151,500,500,500
335,159,500,500,500
336,170,411,500,500
337,178,500,500,500
338,142,500,500,500
339,163,500,500,500
340,166,500,500,500
341,153,500,256,500
342,172,500,266,500
343,500,500,270,500
344,144,448,500,500
345,160,500,276,500
