,CartPole-v2.0,CartPole-v2.1,CartPole-v2.2,CartPole-v2.3
346,198,500,258,500
347,159,383,262,500
348,178,500,500,500
349,160,500,500,500
350,153,500,500,500
351,178,442,250,500
352,160,500,256,500
353,160,500,267,500
354,170,500,500,500
355,217,302,263,500
356,500,500,500,500
357,153,500,500,500
358,156,488,500,500
359,156,500,500,500
360,500,350,265,500
361,162,500,500,500
362,151,500,500,500
363,183,500,500,500
364,179,374,500,500
365,176,275,500,500
366,142,500,245,500
367,161,500,255,500
368,173,500,500,500
369,162,500,284,500
370,500,500,500,500
371,188,404,500,500
372,171,500,500,500
373,282,500,500,500
374,183,500,260,500
375,167,500,500,500
376,152,500,271,500
377,175,500,272,500
378,137,500,500,500
379,162,500,273,500
380,211,500,267,500
381,403,500,267,500
382,155,468,264,500
383,147,500,258,500
384,190,500,254,500
385,166,426,257,500
386,184,500,500,500
387,170,500,500,500
388,162,500,249,500
389,148,500,500,500
390,144,500,268,500
391,155,500,264,500
392,500,500,261,500
393,500,500,259,500
394,159,500,500,500
395,152,500,500,500
396,160,500,500,500
397,500,500,251,500
398,162,500,262,500
399,173,500,500,500
400,163,500,260,500
401,187,500,500,500
402,237,500,255,500
403,165,500,275,500
404,148,500,500,500
405,148,348,260,500
406,161,500,500,500
407,144,500,271,500
408,227,500,500,500
409,139,462,275,500
410,167,326,500,500
411,153,500,500,500
412,146,422,258,500
413,188,500,260,500
414,163,500,266,500
415,168,500,500,500
416,147,348,500,500
417,182,500,261,500
418,176,500,259,500
419,144,500,274,500
420,154,500,500,500
421,173,500,261,500
422,153,500,263,500
423,161,500,500,500
424,500,500,264,500
425,157,497,257,500
426,157,500,271,500
427,173,500,500,500
428,386,500,500,500
429,216,435,500,500
430,174,500,260,500
431,149,500,500,500
432,500,500,249,500
433,166,467,500,500
434,142,500,265,500
435,166,348,500,500
436,173,500,500,500
437,500,500,500,500
438,139,475,265,500
439,164,500,500,500
440,165,500,261,500
441,179,500,500,500
442,158,500,500,500
443,500,500,500,500
444,172,500,272,500
445,139,500,265,500
446,170,500,267,500
447,173,500,261,500
448,160,500,500,500
449,190,500,500,500
450,229,500,260,500
451,193,500,500,500
452,187,495,500,500
453,181,500,500,500
454,160,500,500,500
455,194,500,500,500
456,158,500,500,500
457,163,500,252,500
458,160,500,260,500
459,154,500,266,500
460,173,500,266,500
461,156,500,500,500
462,184,500,500,500
463,155,500,500,500
464,170,500,500,500
465,181,500,500,500
466,197,500,500,500
467,167,500,500,500
468,162,500,270,500
469,156,500,500,500
470,165,500,271,500
471,194,500,500,500
472,156,500,272,500
473,176,500,500,500
474,181,500,500,500
475,155,329,269,500
476,167,500,500,500
477,158,500,500,500
478,176,500,500,500
479,153,500,252,500
480,181,385,267,500
481,152,500,500,500
482,208,500,500,500
483,187,500,500,500
484,160,500,500,500
485,163,500,264,500
486,165,500,258,500
487,147,500,500,500
488,171,500,500,500
489,159,500,500,500
490,189,500,500,500
491,143,500,500,500
492,196,500,500,500
493,500,500,500,500
494,210,500,500,500
495,164,500,267,500
496,161,435,500,500
497,193,336,268,500
498,159,465,255,500
499,143,500,500,500
500,161,500,271,500
501,144,500,270,500
502,226,500,500,500
503,163,405,268,500
504,143,463,258,500
505,196,500,500,500
506,163,500,500,500
507,159,434,265,500
508,180,500,500,500
509,172,500,500,500
510,179,500,500,500
511,173,500,264,500
512,150,500,500,500
513,152,500,500,500
514,181,390,260,500
515,157,500,500,500
516,165,500,500,500
517,186,359,500,500
518,167,459,500,500
519,141,420,500,500
520,158,500,500,500
521,146,493,264,500
522,186,500,500,500
523,173,500,500,500
524,181,500,500,500
525,161,500,268,500
526,148,376,262,500
527,154,472,500,500
528,170,500,273,500
529,176,500,266,500
530,157,500,500,500
531,164,500,500,500
532,175,398,500,500
533,167,334,275,500
534,182,500,256,500
535,161,500,500,500
536,162,500,263,500
537,170,500,500,500
538,148,473,500,500
539,169,490,500,500
540,148,500,500,500
541,177,500,267,500
542,150,500,257,500
543,159,500,255,500
544,500,500,260,500
545,500,409,261,500
546,152,500,500,500
547,171,500,270,500
548,170,500,500,500
549,149,500,500,500
550,198,344,272,500
551,143,393,500,500
552,147,500,500,500
553,500,499,500,500
554,168,500,500,500
555,163,500,500,500
556,152,500,500,500
557,151,500,256,500
558,178,500,267,500
559,179,500,273,500
560,182,500,500,500
561,500,500,259,500
562,170,500,500,500
563,164,369,262,500
564,153,464,500,500
565,154,500,272,500
566,143,500,260,500
567,200,500,500,500
568,158,500,275,500
569,148,500,500,500
570,168,500,267,500
571,162,489,260,500
572,182,500,500,500
573,183,500,500,500
574,136,500,269,500
575,145,500,500,500
576,156,500,264,500
577,188,500,259,500
578,134,500,500,500
579,140,500,251,500
580,161,500,256,500
581,157,483,271,500
582,161,500,500,500
583,172,500,260,500
584,164,500,268,500
585,177,500,267,500
586,152,500,266,500
587,163,500,500,500
588,158,500,265,500
589,174,500,258,500
590,160,500,276,500
591,191,421,500,500
592,164,500,260,500
593,177,500,257,500
594,165,500,500,500
595,180,500,256,500
596,161,500,500,500
597,155,500,259,500
598,200,500,267,500
599,171,368,256,500
600,142,500,500,500
601,154,500,500,500
602,163,500,500,500
603,155,419,500,500
604,164,500,500,500
605,157,500,500,500
606,162,500,500,500
607,146,500,266,500
608,153,500,500,500
609,152,500,270,500
610,162,500,264,500
611,165,500,500,500
612,143,500,500,500
613,157,500,500,500
614,157,500,254,500
615,158,500,500,500
616,152,500,278,500
617,150,500,277,500
618,178,500,500,500
619,186,477,500,500
620,500,456,266,500
621,155,500,261,500
622,176,500,500,500
623,166,500,264,500
624,162,400,267,500
625,147,442,500,500
626,161,500,258,500
627,145,500,500,500
628,157,500,500,500
629,182,500,500,500
630,160,500,500,500
631,159,500,500,500
632,141,500,500,500
633,147,500,500,500
634,176,500,260,500
635,500,500,500,500
636,185,500,500,500
637,162,500,253,500
638,180,500,500,500
639,174,500,500,500
640,166,500,500,500
641,500,500,500,500
642,153,500,500,500
643,204,500,500,500
644,161,500,500,500
645,165,500,500,500
646,161,500,500,500
647,171,423,270,500
648,150,500,262,500
649,500,500,500,500
650,182,500,500,500
651,192,366,274,500
652,147,500,500,500
653,162,356,500,500
654,156,500,256,500
655,157,500,270,500
656,159,500,500,500
657,163,500,500,500
658,500,461,263,500
659,155,500,268,500
660,147,342,500,500
661,163,500,264,500
662,168,500,500,500
663,151,500,500,500
664,142,500,500,500
665,500,500,279,500
666,184,382,260,500
667,145,453,271,500
668,169,500,258,500
669,171,500,254,500
670,143,500,268,500
671,157,347,275,500
672,158,500,500,500
673,153,477,259,500
674,158,500,500,500
675,187,500,258,500
676,186,500,500,500
677,210,500,500,500
678,214,500,500,500
679,203,500,269,500
680,157,500,267,500
681,150,500,265,500
682,152,500,500,500
683,148,474,264,500
684,153,500,262,500
685,167,426,500,500
686,171,500,500,500
687,160,500,500,500
688,173,500,256,500
689,193,500,500,500
690,171,500,500,500
691,500,500,500,500
692,159,500,500,500
693,199,500,500,500
694,154,500,263,500
695,153,500,500,500
696,158,481,271,500
697,158,500,259,500
698,190,500,253,500
699,160,500,500,500
700,430,500,500,500
701,178,500,500,500
702,162,500,500,500
703,149,425,258,500
704,180,403,271,500
705,181,500,270,500
706,163,380,270,500
707,210,401,262,500
708,192,500,500,500
709,144,500,263,500
710,143,500,274,500
711,167,500,500,500
712,172,500,260,500
713,162,500,500,500
714,139,500,500,500
715,200,500,257,500
716,156,500,500,500
717,204,500,500,500
718,147,500,500,500
719,147,500,500,500
720,215,500,500,500
721,165,500,500,500
722,207,500,260,500
723,154,500,500,500
724,145,500,500,500
725,136,500,500,500
726,168,500,500,500
727,149,500,270,500
728,160,500,273,500
729,145,500,500,500
730,155,500,260,500
731,178,500,261,500
732,147,391,500,500
733,380,500,500,500
734,174,500,257,500
735,188,500,263,500
736,180,500,261,500
737,168,500,500,500
738,142,500,500,500
739,179,451,262,500
740,153,500,500,500
741,147,500,500,500
742,176,390,269,500
743,179,500,500,500
744,150,500,500,500
745,166,500,267,500
746,177,438,500,500
747,146,419,265,500
748,179,500,266,500
749,166,500,261,500
750,163,424,500,500
751,150,459,272,500
752,155,500,266,500
753,144,500,247,500
754,148,500,500,500
755,157,500,266,500
756,187,500,500,500
757,162,500,500,500
758,206,500,500,500
759,500,500,270,500
760,198,500,500,500
761,178,500,500,500
762,156,500,260,500
763,175,500,500,500
764,163,500,268,500
765,191,500,257,500
766,177,500,500,500
767,140,412,500,500
768,154,500,500,500
769,175,395,500,500
770,234,500,500,500
771,500,358,273,500
772,171,500,269,500
773,150,500,500,500
774,164,500,259,500
775,198,500,500,500
776,150,500,256,500
777,156,500,268,500
778,160,500,500,500
779,152,500,500,500
780,166,500,254,500
781,180,500,500,500
782,209,500,500,500
783,199,398,500,500
784,146,500,500,500
785,168,461,262,500
786,184,500,262,500
787,162,500,500,500
788,165,500,500,500
789,184,500,500,500
790,175,500,500,500
791,161,467,500,500
792,174,500,269,500
793,171,500,500,500
794,500,500,265,500
795,154,500,500,500
796,154,500,269,500
797,157,425,260,500
798,158,500,500,500
799,169,449,500,500
800,157,500,500,500
801,195,500,500,500
802,150,361,500,500
803,219,500,500,500
804,172,500,500,500
805,150,500,270,500
806,500,450,500,500
807,151,500,500,500
808,194,500,264,500
809,151,500,267,500
810,164,431,268,500
811,167,500,268,500
812,157,500,500,500
813,182,500,500,500
814,194,500,500,500
815,144,348,264,500
816,161,500,500,500
817,162,500,500,500
818,198,500,500,500
819,163,500,272,500
820,150,500,255,500
821,160,500,264,500
822,146,500,264,500
823,174,500,258,500
824,170,500,500,500
825,154,498,500,500
826,160,500,500,500
827,159,500,500,500
828,165,500,500,500
829,150,500,500,500
830,141,500,257,500
831,155,500,265,500
832,140,379,259,500
833,176,500,270,500
834,158,500,500,500
835,159,391,500,500
836,166,500,264,500
837,175,500,281,500
838,141,500,265,500
839,165,500,267,500
840,167,500,257,500
841,156,500,272,500
842,149,500,500,500
843,151,500,262,500
844,162,371,261,500
845,500,500,276,500
846,171,500,500,500
847,152,500,253,500
848,168,500,266,500
849,198,500,258,500
850,158,448,264,500
851,142,500,500,500
852,163,500,500,500
853,213,500,253,500
854,173,466,500,500
855,191,500,500,500
856,189,500,500,500
857,149,500,500,500
858,157,500,265,500
859,356,406,500,500
860,500,500,500,500
861,164,500,259,500
862,500,500,500,500
863,500,500,257,500
864,206,500,500,500
865,155,500,264,500
866,160,405,260,500
867,171,500,249,500
868,171,488,270,500
869,156,500,500,500
870,151,500,500,500
871,157,500,268,500
872,141,500,500,500
873,196,500,500,500
874,170,451,500,500
875,145,500,500,500
876,211,456,276,500
877,500,396,500,500
878,165,500,500,500
879,173,500,270,500
880,157,500,268,500
881,154,500,500,500
882,166,500,500,500
883,171,500,253,500
884,147,500,257,500
885,148,470,271,500
886,167,398,500,500
887,155,500,500,500
888,170,500,500,500
889,161,500,500,500
890,159,500,259,500
891,176,438,500,500
892,161,500,500,500
893,157,500,257,500
894,169,500,500,500
895,154,500,264,500
896,177,500,500,500
897,500,500,264,500
898,161,500,500,500
899,158,500,500,500
900,157,500,500,500
901,162,500,500,500
902,167,500,266,500
903,155,500,500,500
904,169,500,276,500
905,163,500,500,500
906,201,500,500,500
907,153,500,500,500
908,165,500,500,500
909,167,500,251,500
910,148,500,500,500
911,158,500,274,500
912,152,500,500,500
913,168,500,273,500
914,163,500,500,500
915,500,500,500,500
916,353,500,272,500
917,152,500,500,500
918,167,500,271,500
919,159,434,500,500
920,153,369,272,500
921,168,500,265,500
922,158,449,500,500
923,210,500,270,500
924,211,500,500,500
925,157,500,500,500
926,159,500,500,500
927,164,415,266,500
928,154,500,500,500
929,202,500,269,500
930,500,500,500,500
931,165,500,265,500
932,192,434,269,500
933,171,500,267,500
934,185,365,264,500
935,500,500,500,500
936,500,500,256,500
937,190,500,500,500
938,163,500,500,500
939,500,500,258,500
940,174,500,257,500
941,152,500,262,500
942,178,474,500,500
943,178,438,500,500
944,178,500,275,500
945,151,500,500,500
946,169,500,252,500
947,167,500,500,500
948,144,500,500,500
949,184,500,257,500
950,173,410,253,500
951,158,500,500,500
952,500,500,268,500
953,176,500,256,500
954,176,500,500,500
955,218,500,267,500
956,176,500,500,500
957,208,500,500,500
958,160,500,260,500
959,149,500,500,500
960,146,500,256,500
961,156,500,252,500
962,163,431,269,500
963,176,500,257,500
964,162,500,259,500
965,156,500,500,500
966,140,500,254,500
967,158,320,500,500
968,222,500,279,500
969,169,500,500,500
970,176,500,269,500
971,185,500,254,500
972,161,500,261,500
973,166,431,500,500
974,147,500,256,500
975,154,500,500,500
976,152,500,500,500
977,155,500,500,500
978,153,500,500,500
979,154,371,500,500
980,166,500,500,500
981,164,424,500,500
982,140,500,500,500
983,167,500,270,500
984,157,438,500,500
985,173,500,500,500
986,253,500,264,500
987,161,440,500,500
988,166,500,500,500
989,151,500,261,500
990,500,500,271,500
991,219,500,269,500
992,142,500,500,500
993,158,500,500,500
994,500,500,500,500
995,154,500,500,500
996,147,500,266,500
997,142,500,255,500
998,500,500,270,500
999,139,500,500,500
