,MountainCarAgentv16.0,MountainCarAgentv16.1,MountainCarAgentv16.2,MountainCarAgentv16.3
224,-83,-149,-147,-109
225,-117,-88,-149,-111
226,-114,-93,-149,-114
227,-115,-105,-114,-110
228,-112,-149,-148,-113
229,-113,-89,-113,-84
230,-113,-149,-144,-114
231,-114,-148,-147,-83
232,-113,-149,-113,-109
233,-117,-113,-113,-114
234,-88,-106,-149,-88
235,-115,-105,-145,-87
236,-112,-88,-144,-112
237,-115,-149,-115,-109
238,-113,-147,-147,-110
239,-120,-105,-149,-104
240,-112,-105,-113,-111
241,-86,-105,-146,-109
242,-114,-149,-146,-109
243,-113,-90,-144,-87
244,-114,-103,-144,-111
245,-89,-147,-147,-110
246,-114,-155,-147,-94
247,-113,-154,-113,-111
248,-113,-148,-113,-110
249,-84,-152,-148,-111
250,-112,-148,-113,-112
251,-114,-88,-115,-109
252,-113,-96,-144,-110
253,-115,-147,-113,-109
254,-116,-153,-147,-114
255,-114,-106,-146,-110
256,-113,-154,-112,-113
257,-112,-93,-144,-113
258,-90,-147,-113,-113
259,-114,-147,-113,-114
260,-111,-152,-113,-110
261,-116,-153,-114,-114
262,-84,-162,-143,-113
263,-114,-152,-145,-83
264,-114,-147,-149,-114
265,-111,-105,-114,-113
266,-113,-151,-149,-112
267,-84,-105,-113,-110
268,-118,-149,-115,-85
269,-113,-154,-147,-110
270,-114,-148,-144,-103
271,-112,-106,-115,-84
272,-113,-149,-146,-114
273,-116,-152,-146,-109
274,-115,-106,-114,-110
275,-113,-106,-147,-112
276,-84,-149,-143,-111
277,-116,-158,-114,-85
278,-111,-89,-113,-84
279,-117,-149,-113,-114
280,-112,-147,-150,-113
281,-112,-108,-149,-113
282,-117,-106,-113,-113
283,-112,-149,-114,-94
284,-89,-147,-115,-90
285,-83,-102,-113,-85
286,-114,-152,-144,-104
287,-115,-88,-147,-85
288,-112,-156,-146,-109
289,-118,-150,-143,-110
290,-112,-149,-146,-114
291,-113,-149,-143,-111
292,-114,-90,-143,-89
293,-116,-152,-114,-110
294,-114,-97,-114,-114
295,-115,-152,-144,-114
296,-117,-149,-114,-89
297,-86,-152,-146,-113
298,-114,-105,-144,-110
299,-111,-105,-147,-112
300,-113,-89,-113,-113
301,-112,-154,-145,-85
302,-113,-106,-114,-114
303,-112,-153,-148,-94
304,-113,-89,-113,-84
305,-113,-105,-148,-110
306,-114,-159,-114,-106
307,-115,-105,-148,-115
308,-116,-105,-114,-110
309,-88,-106,-146,-86
310,-112,-91,-114,-111
311,-117,-87,-146,-110
312,-115,-105,-150,-106
313,-85,-155,-114,-114
314,-119,-149,-114,-112
315,-114,-90,-114,-109
316,-111,-153,-113,-113
317,-115,-149,-115,-112
318,-115,-154,-112,-114
319,-113,-106,-150,-100
320,-118,-154,-113,-110
321,-111,-149,-115,-110
322,-114,-100,-144,-89
323,-114,-95,-144,-86
324,-117,-105,-113,-112
325,-83,-153,-144,-110
326,-117,-106,-147,-89
327,-112,-149,-113,-110
328,-119,-147,-147,-113
329,-89,-152,-112,-109
330,-113,-157,-113,-86
331,-112,-147,-112,-112
332,-112,-154,-146,-91
333,-113,-149,-144,-112
334,-113,-153,-113,-84
335,-84,-149,-146,-110
336,-88,-105,-113,-87
337,-113,-108,-113,-94
338,-111,-147,-113,-113
339,-114,-103,-114,-114
340,-113,-154,-149,-83
341,-88,-88,-144,-109
342,-114,-100,-143,-91
343,-113,-148,-148,-109
344,-115,-154,-150,-111
345,-111,-149,-150,-83
346,-86,-149,-143,-109
347,-113,-149,-149,-115
348,-112,-148,-113,-112
349,-84,-96,-114,-89
350,-114,-91,-113,-97
351,-112,-101,-114,-113
352,-114,-90,-114,-111
353,-118,-148,-114,-111
354,-114,-96,-115,-110
355,-116,-149,-144,-111
356,-89,-152,-114,-110
357,-85,-105,-112,-110
358,-113,-105,-114,-109
359,-83,-156,-143,-113
360,-114,-97,-150,-114
361,-115,-153,-113,-110
362,-86,-99,-143,-110
363,-112,-147,-150,-110
364,-117,-155,-146,-109
365,-114,-149,-114,-111
366,-86,-87,-147,-112
367,-115,-147,-113,-109
368,-113,-152,-144,-110
369,-111,-147,-113,-97
370,-112,-149,-149,-110
371,-118,-155,-114,-112
372,-83,-109,-146,-109
373,-115,-105,-113,-88
374,-114,-147,-143,-109
375,-113,-106,-147,-109
376,-114,-148,-113,-84
377,-118,-103,-146,-109
378,-119,-149,-114,-100
379,-114,-147,-113,-110
380,-114,-89,-148,-111
381,-117,-93,-114,-110
382,-119,-151,-114,-84
383,-115,-106,-148,-112
384,-113,-93,-147,-109
385,-112,-147,-149,-112
386,-89,-108,-114,-83
387,-115,-109,-147,-109
388,-117,-155,-146,-109
389,-112,-149,-115,-112
390,-88,-153,-113,-112
391,-86,-151,-147,-113
392,-113,-153,-112,-111
393,-114,-88,-144,-91
394,-115,-102,-113,-115
395,-84,-105,-149,-109
396,-117,-151,-145,-88
397,-113,-149,-145,-109
398,-115,-94,-148,-114
399,-112,-101,-113,-124
400,-112,-88,-113,-97
401,-111,-147,-147,-112
402,-115,-151,-114,-110
403,-118,-152,-114,-113
404,-88,-152,-113,-98
405,-87,-152,-113,-112
406,-86,-98,-114,-111
407,-117,-154,-113,-90
408,-114,-97,-115,-83
409,-113,-147,-114,-115
410,-114,-151,-113,-109
411,-114,-106,-145,-99
412,-113,-155,-114,-83
413,-118,-149,-114,-89
414,-83,-151,-113,-84
415,-83,-94,-149,-109
416,-113,-90,-147,-109
417,-86,-90,-113,-113
418,-84,-88,-148,-98
419,-117,-105,-113,-88
420,-113,-108,-112,-112
421,-114,-154,-144,-88
422,-112,-152,-146,-84
423,-83,-105,-113,-88
424,-114,-156,-113,-86
425,-113,-151,-144,-114
426,-112,-149,-115,-115
427,-113,-92,-114,-111
428,-117,-155,-146,-109
429,-85,-147,-149,-114
430,-84,-149,-150,-89
431,-112,-168,-113,-109
432,-117,-105,-148,-114
433,-114,-153,-113,-109
434,-88,-147,-147,-97
435,-114,-153,-115,-85
436,-85,-159,-146,-94
437,-114,-151,-143,-85
438,-112,-108,-147,-112
439,-86,-147,-113,-88
440,-118,-152,-144,-114
441,-87,-106,-149,-112
442,-113,-154,-113,-110
443,-112,-110,-150,-111
444,-112,-149,-146,-92
445,-113,-147,-148,-109
446,-117,-110,-146,-94
447,-112,-147,-145,-83
448,-86,-152,-115,-112
449,-114,-151,-114,-112
450,-118,-147,-149,-90
451,-116,-101,-144,-92
452,-114,-88,-147,-114
453,-116,-106,-143,-112
454,-116,-103,-147,-113
455,-115,-101,-144,-114
456,-118,-108,-144,-86
457,-117,-147,-115,-109
458,-112,-147,-115,-114
459,-112,-152,-146,-110
460,-83,-106,-114,-112
461,-115,-149,-147,-91
462,-114,-148,-144,-114
463,-114,-93,-114,-112
464,-112,-147,-112,-113
465,-116,-149,-149,-89
466,-118,-147,-113,-113
467,-117,-147,-113,-87
468,-117,-154,-114,-109
469,-84,-148,-144,-111
470,-114,-150,-144,-125
471,-113,-105,-113,-109
472,-115,-105,-114,-97
473,-112,-147,-113,-84
474,-117,-147,-114,-112
475,-112,-148,-146,-109
476,-112,-152,-115,-110
477,-112,-154,-150,-109
478,-114,-147,-115,-112
479,-113,-149,-113,-109
480,-118,-149,-149,-100
481,-114,-159,-115,-91
482,-87,-152,-114,-83
483,-114,-107,-113,-94
484,-117,-99,-143,-91
485,-113,-152,-144,-109
486,-115,-148,-113,-85
487,-116,-151,-113,-111
488,-112,-152,-115,-112
489,-89,-154,-147,-109
490,-112,-95,-114,-88
491,-112,-147,-144,-110
492,-114,-105,-114,-100
493,-117,-147,-147,-114
494,-112,-100,-115,-109
495,-116,-105,-149,-83
496,-113,-153,-114,-99
497,-114,-106,-149,-111
498,-118,-102,-114,-84
499,-115,-154,-114,-113
500,-116,-147,-143,-87
501,-113,-147,-113,-113
502,-117,-147,-149,-89
503,-115,-147,-149,-112
504,-116,-148,-115,-83
505,-113,-147,-113,-110
506,-116,-147,-114,-91
507,-114,-152,-113,-109
508,-112,-149,-113,-110
509,-111,-104,-114,-112
510,-113,-152,-113,-111
511,-112,-101,-114,-109
512,-112,-105,-113,-91
513,-117,-153,-144,-94
514,-118,-107,-114,-92
515,-113,-101,-113,-84
516,-112,-154,-112,-113
517,-112,-106,-113,-109
518,-112,-151,-115,-113
519,-112,-104,-149,-109
520,-117,-147,-113,-89
521,-114,-152,-114,-110
522,-118,-153,-149,-113
523,-118,-147,-113,-113
524,-119,-147,-113,-111
525,-111,-148,-115,-113
526,-114,-100,-149,-88
527,-114,-87,-113,-112
528,-112,-106,-147,-114
529,-112,-147,-113,-114
530,-115,-151,-147,-83
531,-114,-156,-147,-109
532,-112,-149,-144,-112
533,-116,-149,-112,-91
534,-114,-154,-113,-89
535,-116,-100,-144,-112
536,-86,-154,-143,-110
537,-86,-149,-114,-85
538,-113,-147,-113,-113
539,-116,-153,-114,-110
540,-112,-96,-144,-109
541,-116,-98,-143,-111
542,-114,-105,-114,-84
543,-114,-87,-150,-112
544,-113,-151,-149,-101
545,-88,-108,-144,-84
546,-89,-152,-146,-112
547,-116,-91,-146,-113
548,-113,-105,-112,-87
549,-112,-149,-112,-110
550,-86,-149,-112,-110
551,-114,-153,-114,-85
552,-113,-87,-144,-110
553,-111,-100,-113,-109
554,-86,-149,-146,-84
555,-85,-92,-114,-111
556,-86,-149,-114,-111
557,-114,-107,-149,-114
558,-112,-149,-114,-114
559,-114,-89,-113,-110
560,-83,-93,-112,-110
561,-114,-88,-146,-110
562,-116,-104,-144,-110
563,-87,-154,-144,-113
564,-115,-152,-146,-88
565,-115,-147,-113,-114
566,-114,-152,-150,-114
567,-114,-90,-144,-83
568,-115,-147,-113,-110
569,-113,-89,-112,-114
570,-117,-149,-114,-111
571,-84,-92,-144,-114
572,-115,-108,-113,-83
573,-114,-149,-112,-114
574,-116,-105,-113,-113
575,-114,-153,-145,-110
576,-116,-147,-112,-110
577,-113,-153,-115,-111
578,-111,-147,-114,-114
579,-117,-106,-144,-110
580,-117,-151,-114,-112
581,-112,-103,-144,-110
582,-84,-153,-146,-110
583,-118,-147,-147,-83
584,-114,-153,-113,-109
585,-113,-156,-146,-88
586,-112,-108,-149,-100
587,-116,-96,-113,-87
588,-115,-96,-114,-88
589,-116,-147,-146,-109
590,-88,-92,-112,-110
591,-113,-149,-114,-114
592,-112,-89,-148,-109
593,-118,-152,-114,-83
594,-114,-147,-143,-83
595,-88,-106,-113,-111
596,-83,-149,-144,-114
597,-89,-88,-144,-111
598,-86,-91,-149,-114
599,-114,-149,-147,-114
